Date,Open,High,Low,Close,Adj Close,Volume
2017-05-16,780.000000,792.150024,775.549988,779.650024,725.041016,432856
2017-05-17,780.775024,787.500000,775.525024,781.099976,726.389404,358328
2017-05-18,777.500000,797.000000,769.775024,777.325012,722.878845,1034258
2017-05-19,782.500000,790.000000,768.549988,775.625000,721.297852,414042
2017-05-22,781.000000,782.500000,761.700012,764.025024,710.510376,280524
2017-05-23,766.799988,766.799988,721.000000,727.700012,676.729675,460232
2017-05-24,720.500000,725.000000,641.174988,664.625000,618.072632,1518740
2017-05-25,663.625000,674.375000,655.125000,664.950012,618.374878,858642
2017-05-26,666.049988,685.474976,665.974976,681.250000,633.533264,596068
2017-05-29,682.474976,682.900024,662.150024,666.875000,620.165039,336714
2017-05-30,665.000000,667.474976,646.000000,656.000000,610.051819,407566
2017-05-31,656.250000,671.025024,656.250000,667.125000,620.397522,312420
2017-06-01,669.500000,693.500000,665.000000,686.299988,638.229370,672002
2017-06-02,692.000000,693.099976,675.500000,678.099976,630.603821,313176
2017-06-05,675.750000,762.000000,675.750000,746.099976,693.840881,3963182
2017-06-06,752.549988,798.400024,748.674988,770.575012,716.601563,5856284
2017-06-07,774.500000,781.974976,741.049988,772.525024,718.415039,2561222
2017-06-08,771.000000,772.150024,753.849976,761.625000,708.278503,862728
2017-06-09,760.000000,781.500000,753.474976,770.000000,716.066956,1537050
2017-06-12,769.849976,781.549988,760.200012,771.349976,717.322388,988096
2017-06-13,771.400024,781.299988,765.500000,768.599976,714.764954,707566
2017-06-14,770.799988,788.474976,767.500000,774.099976,719.879700,1183294
2017-06-15,774.000000,783.700012,767.525024,771.025024,717.020081,683044
2017-06-16,773.500000,782.849976,769.250000,773.000000,718.856689,481468
2017-06-19,777.500000,814.450012,775.900024,808.549988,751.916687,3887844
2017-06-20,814.775024,828.500000,804.750000,810.900024,754.102173,2741486
2017-06-21,809.549988,817.000000,799.525024,810.250000,753.497620,810948
2017-06-22,815.474976,831.900024,808.000000,814.750000,757.682495,1799662
2017-06-23,819.799988,826.474976,785.825012,804.900024,748.522461,1245408
2017-06-27,805.849976,812.275024,786.000000,794.250000,738.618286,702312
2017-06-28,798.974976,806.400024,789.599976,797.450012,741.594177,831432
2017-06-29,802.174988,814.500000,796.950012,799.724976,743.709839,961558
2017-06-30,800.000000,800.000000,788.875000,792.349976,736.851440,585712
2017-07-03,793.474976,812.000000,792.650024,809.825012,753.102417,628314
2017-07-04,813.450012,844.400024,812.500000,835.224976,776.723267,2507006
2017-07-05,839.000000,853.400024,836.275024,847.450012,788.092102,1584152
2017-07-06,847.000000,861.000000,838.724976,849.349976,789.859009,1141624
2017-07-07,846.125000,854.000000,842.325012,847.900024,788.510559,638198
2017-07-10,851.025024,860.900024,850.049988,853.825012,794.020508,150448
2017-07-11,857.299988,879.049988,848.674988,854.875000,794.997009,1588394
2017-07-12,856.950012,868.424988,854.775024,860.349976,800.088501,919620
2017-07-13,867.849976,872.400024,859.000000,867.000000,806.272705,778570
2017-07-14,869.849976,869.849976,852.625000,855.849976,795.903687,451108
2017-07-17,859.825012,865.950012,832.500000,853.349976,793.578796,824506
2017-07-18,844.500000,853.099976,835.200012,839.500000,788.087036,487782
2017-07-19,840.000000,849.500000,832.025024,835.924988,784.730957,411554
2017-07-20,845.950012,865.000000,842.000000,845.575012,793.789978,2040752
2017-07-21,848.000000,850.775024,834.000000,841.825012,790.269714,671792
2017-07-24,840.000000,844.474976,831.299988,835.525024,784.355530,328018
2017-07-25,835.000000,837.000000,822.775024,831.174988,780.271851,445186
2017-07-26,833.000000,847.299988,831.250000,838.950012,787.570801,577616
2017-07-27,842.500000,883.500000,832.775024,868.275024,815.099854,4802974
2017-07-28,872.349976,887.500000,865.799988,873.250000,819.770203,1775484
2017-07-31,875.000000,888.674988,867.500000,876.575012,822.891541,854958
